,target_end_date,model,horizon,forecast_date,wis_COVIDhub,y,lower_95_COVIDhub,lower_80_COVIDhub,lower_50_COVIDhub,pred_COVIDhub,upper_50_COVIDhub,upper_80_COVIDhub,upper_95_COVIDhub,lower_95_calculated,lower_80_calculated,lower_50_calculated,pred_calculated,upper_50_calculated,upper_80_calculated,upper_95_calculated,wis_calculated
0,2020-07-25T00:00:00.000000,COVIDhub-4_week_ensemble,1,2020-07-20T00:00:00.000000,25603.76428571429,462065.0,354703.0,433849.0,471764.0,528883.0,563543.0,585873.0,689024.0,389770.55,433243.926379201,456853.385249646,479011.34765625,480936.25,521132.563757573,546731.492200943,7773.364945306938
1,2020-08-01T00:00:00.000000,COVIDhub-4_week_ensemble,1,2020-07-27T00:00:00.000000,11144.278571428573,435246.0,390056.0,413333.0,421784.0,454323.0,485925.0,513596.0,526253.0,390056.0,413333.0,421784.434823609,454323.0,485925.0,513596.0,534241.575,11201.308762599356
2,2020-08-01T00:00:00.000000,COVIDhub-4_week_ensemble,2,2020-07-20T00:00:00.000000,41405.92857142857,435246.0,290371.0,393021.0,455740.0,537671.0,595235.0,648353.0,802663.0,363549.61583226,410751.63812127,456037.658438658,527631.255637108,564017.703947661,571498.583139599,651353.2918983075,33499.738296556236
3,2020-08-08T00:00:00.000000,COVIDhub-4_week_ensemble,1,2020-08-03T00:00:00.000000,19652.04285714286,388787.0,367977.0,389299.0,410424.0,434142.0,452867.0,482542.0,528801.0,367977.0,389299.0,410424.0,434142.0,452867.0,482542.0,534700.5,19694.182142857142
4,2020-08-08T00:00:00.000000,COVIDhub-4_week_ensemble,2,2020-07-27T00:00:00.000000,35524.87857142858,388787.0,334323.0,393452.0,431745.0,468837.0,499385.0,530096.0,578910.0,370689.833617086,393452.931423124,431745.0,468837.0,499385.0,530096.0,578909.5283464165,35265.35161401281
5,2020-08-08T00:00:00.000000,COVIDhub-4_week_ensemble,3,2020-07-20T00:00:00.000000,52898.02142857143,388787.0,249289.0,355480.0,422267.0,508963.0,598392.0,675872.0,869474.0,330490.451715767,391554.821673612,440219.833698067,508963.0,562581.0,616432.51321275,766733.3629411315,50935.08253763147
6,2020-08-15T00:00:00.000000,COVIDhub-4_week_ensemble,1,2020-08-10T00:00:00.000000,9313.014285714286,391741.0,308971.0,318973.0,352384.0,375174.0,394785.0,418031.0,461211.0,308971.0,318973.0,352384.0,375174.0,394785.0,418031.0,465431.801053843,9343.162864670307
7,2020-08-15T00:00:00.000000,COVIDhub-4_week_ensemble,2,2020-08-03T00:00:00.000000,12154.385714285716,391741.0,334293.0,362271.0,383539.0,409206.0,450572.0,479773.0,546269.0,343263.153762788,364231.113859419,383539.0,409206.0,454290.0,484686.428860501,550244.830012907,12468.663830388907
8,2020-08-15T00:00:00.000000,COVIDhub-4_week_ensemble,3,2020-07-27T00:00:00.000000,31513.721428571436,391741.0,286545.0,368193.0,404676.0,478024.0,511862.0,555971.0,632434.0,333832.398777488,381318.0,426298.297402974,478023.964344204,511862.0,555971.0,632433.9299999999,35434.2981442558
9,2020-08-15T00:00:00.000000,COVIDhub-4_week_ensemble,4,2020-07-20T00:00:00.000000,45018.31428571429,391741.0,224612.0,329643.0,390086.0,495729.0,593397.0,696521.0,946794.0,326723.78143248,378015.3,415684.699642356,495729.0,563065.194974522,655625.160028719,816672.8593558259,43655.010407529444
10,2020-08-22T00:00:00.000000,COVIDhub-4_week_ensemble,1,2020-08-17T00:00:00.000000,16904.792857142857,301770.0,298148.0,308736.0,320857.0,333170.0,353815.0,373532.0,405935.0,293093.053241177,303075.6994183505,320354.6535256655,333419.0,355985.26284488896,376648.844691739,413092.148994029,15708.513484280573
11,2020-08-22T00:00:00.000000,COVIDhub-4_week_ensemble,2,2020-08-10T00:00:00.000000,24460.33571428572,301770.0,268931.0,285780.0,315754.0,362552.0,397355.0,440282.0,484360.0,270009.850339009,290907.0,315903.0,363162.0,407002.315895659,451058.004515045,484417.3,25422.604476269717
12,2020-08-22T00:00:00.000000,COVIDhub-4_week_ensemble,3,2020-08-03T00:00:00.000000,58981.50714285714,301770.0,302598.0,346253.0,377387.0,402197.0,437943.0,485234.0,552865.0,312023.996212462,346253.0,377387.0,402197.0,442016.881718931,494151.627835127,561591.0555478055,62215.43025974031
13,2020-08-22T00:00:00.000000,COVIDhub-4_week_ensemble,4,2020-07-27T00:00:00.000000,78111.40714285713,301770.0,243847.0,340148.0,384430.0,473441.0,514294.0,557680.0,735736.0,317211.304447795,358354.0,416711.242714927,473440.950409856,515920.25804758,558319.426236262,735735.5763450256,93732.5501776772
14,2020-08-29T00:00:00.000000,COVIDhub-4_week_ensemble,1,2020-08-24T00:00:00.000000,6840.114285714286,290576.0,237779.0,247254.0,256581.0,276838.0,290781.0,306212.0,342803.0,235784.39,246323.983119105,257102.0,277560.0,292473.24751074903,310132.659003056,345387.616,6991.931461737818
