model,forecast_date,target_end_date,horizon,lower_95,upper_95,lower_50,upper_50,lower_98,lower_90,lower_80,lower_70,lower_60,lower_40,lower_30,lower_20,lower_10,pred,upper_10,upper_20,upper_30,upper_40,upper_60,upper_70,upper_80,upper_90,upper_98,value
AIpert-pwllnod,2021-01-11T00:00:00.000000,2021-01-23T00:00:00.000000,1,15585.1247195275,30107.2315400798,,,,,,,,,,,,,,,,,,,,,,21731.0
AIpert-pwllnod,2021-01-11T00:00:00.000000,2021-01-30T00:00:00.000000,2,15873.5234903174,36138.769513083,,,,,,,,,,,,,,,,,,,,,,21862.0
AIpert-pwllnod,2021-01-11T00:00:00.000000,2021-02-06T00:00:00.000000,3,16301.0689097612,44059.836613409,,,,,,,,,,,,,,,,,,,,,,21394.0
AIpert-pwllnod,2021-01-11T00:00:00.000000,2021-02-13T00:00:00.000000,4,16888.6560100065,54505.7109362593,,,,,,,,,,,,,,,,,,,,,,17536.0
AIpert-pwllnod,2021-01-18T00:00:00.000000,2021-01-30T00:00:00.000000,1,17927.5638023007,33673.5019836938,,,,,,,,,,,,,,,,,,,,,,21862.0
AIpert-pwllnod,2021-01-18T00:00:00.000000,2021-02-06T00:00:00.000000,2,18705.2401504858,41278.5612308522,,,,,,,,,,,,,,,,,,,,,,21394.0
AIpert-pwllnod,2021-01-18T00:00:00.000000,2021-02-13T00:00:00.000000,3,19697.960256129,51839.9412847321,,,,,,,,,,,,,,,,,,,,,,17536.0
AIpert-pwllnod,2021-01-18T00:00:00.000000,2021-02-20T00:00:00.000000,4,20931.8931602459,66856.4434681572,,,,,,,,,,,,,,,,,,,,,,13138.0
AIpert-pwllnod,2021-01-25T00:00:00.000000,2021-02-06T00:00:00.000000,1,17561.1184819324,32553.7927793229,21460.2553778464,26619.7529629231,,,,,,,,,,,,,,,,,,,,21394.0
AIpert-pwllnod,2021-01-25T00:00:00.000000,2021-02-13T00:00:00.000000,2,17925.6876128601,38532.707718931,22809.8832042401,29901.4712934581,,,,,,,,,,,,,,,,,,,,17536.0
