,target_end_date,horizon,mu_KL,sigma_KL,mu_CDF,sigma_CDF,KL_lower_98,KL_lower_95,KL_lower_90,KL_lower_80,KL_lower_70,KL_lower_60,KL_lower_50,KL_lower_40,KL_lower_30,KL_lower_20,KL_lower_10,KL_pred,KL_upper_10,KL_upper_20,KL_upper_30,KL_upper_40,KL_upper_50,KL_upper_60,KL_upper_70,KL_upper_80,KL_upper_90,KL_upper_95,KL_upper_98,KL_WIS,CDF_lower_98,CDF_lower_95,CDF_lower_90,CDF_lower_80,CDF_lower_70,CDF_lower_60,CDF_lower_50,CDF_lower_40,CDF_lower_30,CDF_lower_20,CDF_lower_10,CDF_pred,CDF_upper_10,CDF_upper_20,CDF_upper_30,CDF_upper_40,CDF_upper_50,CDF_upper_60,CDF_upper_70,CDF_upper_80,CDF_upper_90,CDF_upper_95,CDF_upper_98,CDF_WIS,wis_COVIDhub,y,lower_98_COVIDhub,lower_95_COVIDhub,lower_90_COVIDhub,lower_80_COVIDhub,lower_70_COVIDhub,lower_60_COVIDhub,lower_50_COVIDhub,lower_40_COVIDhub,lower_30_COVIDhub,lower_20_COVIDhub,lower_10_COVIDhub,pred_COVIDhub,upper_10_COVIDhub,upper_20_COVIDhub,upper_30_COVIDhub,upper_40_COVIDhub,upper_50_COVIDhub,upper_60_COVIDhub,upper_70_COVIDhub,upper_80_COVIDhub,upper_90_COVIDhub,upper_95_COVIDhub,upper_98_COVIDhub,lower_98_calculated,lower_95_calculated,lower_90_calculated,lower_80_calculated,lower_70_calculated,lower_60_calculated,lower_50_calculated,lower_40_calculated,lower_30_calculated,lower_20_calculated,lower_10_calculated,pred_calculated,upper_10_calculated,upper_20_calculated,upper_30_calculated,upper_40_calculated,upper_50_calculated,upper_60_calculated,upper_70_calculated,upper_80_calculated,upper_90_calculated,upper_95_calculated,upper_98_calculated,wis_calculated
0,2021-07-31,1,7.4353764296091756,0.00022151135004472346,7.717965426938453,0.48821466900818417,1694.0224319930576,1694.1599213665727,1694.2781787384365,1694.4145321594845,1694.506535364831,1694.5796601587792,1694.6423972357404,1694.6987390493002,1694.7509498083064,1694.800494200237,1694.8484303513646,1694.8956078166902,1694.9427865952382,1694.9907267709991,1695.0402781725754,1695.0924994538154,1695.148856231934,1695.2116143817893,1695.284769602742,1695.3768200601821,1695.5132618985303,1695.631613737565,1695.7692337146577,875.8234492054281,722.1322324894687,863.5763034154082,1007.1942339569428,1202.6625307449297,1355.5512033515997,1490.8080911217316,1617.5527482176583,1740.530801809639,1862.8192090336754,1986.7941818706122,2114.58893174324,2248.380429585575,2390.6370076268013,2544.407771208497,2713.7440561211365,2904.4097070201115,3125.223929614432,3390.9224039290725,3729.268613125346,4203.352500732032,5019.105933800969,5853.813422334831,7000.400105000349,275.10616542296987,322.5778260869565,2571.0,1068.0,1204.0,1329.0,1473.0,1539.0,1606.0,1634.0,1666.0,1756.0,1816.0,1870.0,1955.0,2063.0,2122.0,2164.0,2212.0,2343.0,2422.0,2535.0,2663.0,2831.0,3001.0,3160.0,1068.0,1204.0,1329.0,1473.0,1550.0,1633.8,1665.0,1679.0,1782.5554,1825.157663019649,1901.0,1955.3993278629848,2063.0,2122.0,2164.0,2212.0,2343.0,2422.0,2535.0,2663.0,2835.25,3008.325,3194.0839681652983,318.64472569933054
1,2021-08-07,1,7.654302710554961,0.22858439944028688,7.869784074381386,0.4711788858002282,1239.589900976,1347.8762980339632,1448.5449257238165,1573.9757395203017,1664.6833541780918,1740.4887199796447,1808.2682097991303,1871.3828607672715,1931.832789500006,1990.9984292420481,2049.966000865444,2109.7035322487377,2171.1818596521916,2235.485939422459,2303.9514693892124,2378.3743494144974,2461.387624835377,2557.240930601868,2673.691055306028,2827.7748393626957,3072.6344174370543,3302.11978686389,3590.5818452363906,1108.2032246714355,874.5050551916684,1039.2872575771405,1205.6375282810313,1430.7356558636257,1605.8982634547149,1760.2830857612482,1904.5075408477558,2044.0688303385225,2182.506369918586,2322.52972335278,2466.548541957989,2617.000449734733,2776.6294631587443,2948.806762319965,3137.9937526447047,3350.5189513493874,3596.0431802035446,3890.6761130128257,4264.710604505192,4786.832092877258,5680.555882891677,6589.796328185476,7831.505733732715,538.0333197626305,1026.8465217391304,3668.0,1268.0,1422.0,1495.0,1688.0,1763.0,1844.0,1933.0,1986.0,2036.0,2069.0,2128.0,2193.0,2276.0,2327.0,2377.0,2451.0,2555.0,2675.0,2823.0,2947.0,3161.0,3345.0,3529.0,1230.4235,1396.051,1485.1935,1578.956,1691.59515,1809.50365,1903.0,1959.0,1966.0,1980.7479420930745,2038.2436016246177,2145.835749100927,2256.787332671582,2317.641028928687,2352.1175425867555,2430.8439910746865,2552.7331099282064,2695.3164859291537,2865.5774967028947,2985.4879650000003,3169.956615,3360.985,3590.605,1030.7944802160032
2,2021-08-14,1,7.9279285543331115,0.00019033835444432122,7.902071441877526,0.44913424393943996,2772.447439117126,2772.6407877669935,2772.807089057998,2772.9988361755054,2773.1282145365117,2773.23104466164,2773.3192667916683,2773.3984953828976,2773.471914500559,2773.5415838607105,2773.608991438659,2773.67533189443,2773.7416739369633,2773.809086377859,2773.8787642077377,2773.9521960393713,2774.0314427122166,2774.1196903045366,2774.222557194492,2774.3519926500117,2774.543846601786,2774.7102620370897,2774.9037684947302,1886.9296215134025,950.7288950310067,1120.7848743566472,1291.1794109858608,1520.026044780057,1696.9260970206817,1852.0909544112885,1996.468198753525,2135.6903323551155,2273.352346103748,2412.1761413064733,2554.5532340215927,2702.87538268244,2859.8093932886095,3028.6077410391563,3213.5517166230543,3420.6903611604707,3659.229502814963,3944.4797875128693,4305.158219404594,4806.1908935039555,5658.032704171384,6518.231554921964,7684.141475549123,1065.0152730474695,1280.6552173913042,4661.0,1701.0,1907.0,2034.0,2126.0,2216.0,2266.0,2327.0,2431.0,2491.0,2533.0,2633.0,2737.0,2904.0,2968.0,3051.0,3167.0,3303.0,3468.0,3641.0,3883.0,4171.0,4298.0,4432.0,1701.0,1877.0,1989.0,2126.0,2216.0,2266.0,2327.0,2431.0,2491.0,2533.0,2633.0,2737.0,2843.7973649406417,2959.469685271768,3021.43986427276,3127.664743654583,3267.126304943669,3468.0,3641.0,3883.0,4171.0,4298.0,4432.0,1290.6451023544637
3,2021-08-21,1,8.335182276547108,0.2227730389475144,8.32941894527914,0.46514494276548785,2482.2847643637865,2693.387956401291,2889.252899628881,3132.8146846791624,3308.6411676108337,3455.3939632854435,3586.471557699066,3708.4155195851467,3825.112911903422,3939.241111607822,4052.90147196374,4167.96120907927,4286.287431500863,4409.96124588553,4541.539306285487,4684.453656458888,4843.730212525269,5027.47322735728,5250.4637887141325,5545.141474644428,6012.59261265115,6449.832301025285,6998.351232616124,2274.3948406979766,1404.3502180784155,1665.2850848133628,1928.1641259469538,2283.1508408365607,2558.8857674667734,2801.5919404445262,3028.0782277884787,3247.032232176052,3464.0339795932746,3683.3421851801695,3908.731615301528,4144.0089566019005,4393.448290276647,4662.2902160682015,4957.4600981290305,5288.771100645383,5671.191079148153,6129.6614915561095,6711.049961951753,7521.539937372052,8906.301077437021,10312.234457033772,12228.296055591087,1720.4714351469368,2578.3791304347824,7304.0,2561.0,2721.0,2838.0,3052.0,3180.0,3252.0,3359.0,3503.0,3568.0,3631.0,3728.0,3863.0,3983.0,4149.0,4354.0,4423.0,4553.0,4751.0,4962.0,5325.0,5676.0,5933.0,6532.0,2480.5,2673.0,2824.0,3042.0,3168.5000658995123,3252.396,3359.1848590667933,3503.306703695522,3568.0,3631.081179853136,3728.0,3863.2110403927168,3983.0,4148.7414081439865,4354.0,4422.6821703821615,4553.0,4750.927193798059,4960.050045597804,5324.58219109154,5675.565478515625,5932.875739259322,6532.0,2579.08155580883
4,2021-08-28,1,8.474260497280715,0.37764022587803914,8.584684154096152,0.4937902534100325,1989.697628421941,2284.949621144737,2573.694262754041,2952.167940732199,3238.487108663971,3485.7219623270175,3712.816513595693,3929.33613896327,4141.229441631332,4352.851558591282,4567.885648560362,4789.879326454942,5022.661626661181,5270.784829939274,5540.128670813917,5838.8855395949395,6179.390734227601,6581.977624711087,7084.463575791568,7771.557859377785,8914.401486620176,10040.897072604277,11530.869632787793,2686.885770018688,1695.8786241704247,2032.1975866497241,2374.3321212629003,2840.87244177527,3206.3979370186266,3530.1646499853136,3833.8610806659917,4128.79258964954,4422.306463741643,4720.093198539886,5027.2772069602315,5349.102956215485,5691.530675209013,6061.935905215677,6470.131066399304,6930.089563695415,7463.207934290309,8105.260029815404,8923.690383483125,10071.871589670163,12050.926734282699,14079.78369040601,16872.022577789056,2005.8445394976145,2749.376956521739,9154.0,3289.0,3595.0,3809.0,4198.0,4400.0,4566.0,4681.0,4766.0,4922.0,5084.0,5247.0,5405.0,5687.0,5956.0,6088.0,6183.0,6351.0,6542.0,6735.0,7011.0,7406.0,7832.0,8320.0,3289.26,3595.0,3809.0,4198.337115100612,4400.0,4566.4,4681.25,4766.397387269633,4922.1126660506125,5084.0,5247.278364005324,5405.0,5686.5329,5955.989865,6087.69185,6182.54060326633,6350.571469329763,6541.652215,6734.8659800000005,7010.839046183159,7405.581660088152,7831.6021488936,8319.860716883384,2749.5598918322426
5,2021-09-04,1,8.9452589624845,0.00012081341696892991,8.884282630161442,0.43601631738719293,7669.2791619257905,7669.6186430992375,7669.910627656678,7670.247280947579,7670.474427672769,7670.6549614868245,7670.809846810598,7670.948941283616,7671.077835293558,7671.200145107036,7671.318483123192,7671.43494671714,7671.551412079201,7671.669755514096,7671.792074765318,7671.920982942328,7672.060097563532,7672.215011259712,7672.395586040489,7672.622796385592,7672.959568720975,7673.251680468401,7673.591337485657,3506.871580400583,2617.4530278551883,3070.839793087629,3523.1107322930693,4127.822206119636,4593.42292514206,5000.644280745582,5378.6575347720045,5742.416821703146,6101.418837243428,6462.807883514259,6832.816452280537,7217.635102935726,7624.126426188854,8060.622784721072,8538.056125756113,9071.83475122228,9685.36407874093,10417.508935741156,11341.053791061244,12620.276232318949,14786.437451888902,16964.172665859238,19902.651900430643,2052.941258327163,2587.252173913044,11179.0,4841.0,5045.0,5389.0,5666.0,5906.0,6133.0,6492.0,6626.0,7064.0,7229.0,7310.0,7478.0,7603.0,7978.0,7996.0,8312.0,8488.0,8649.0,8790.0,9211.0,9875.0,10465.0,11576.0,4841.0,5045.94,5389.0,5666.0,5906.0,6133.2,6492.75,6626.0,7064.0,7229.0,7310.0,7477.831113501398,7603.0,7978.0,7995.6604587243155,8311.892018821673,8488.0,8649.0,8831.0,9272.0,9875.0,10465.0,11576.0,2579.4591071220284
6,2021-09-11,1,9.209157764021548,0.178290057210252,9.216337231284397,0.38595901977929475,6597.150342362268,7042.480093256354,7449.459189832428,7947.954365981677,8302.998517516537,8596.453952786838,8856.464717357008,9096.65794820238,9325.043934929075,9547.059635630414,9766.892171490825,9988.180910505753,10214.483394441277,10449.68416544346,10698.475910371173,10967.078070766214,11264.51254364208,11605.222158917011,12015.389101964012,12552.130184339501,13392.080600583256,14165.99785585791,15122.25017222644,1040.4137540690558,4098.852297858944,4721.451030298241,5332.050422014822,6134.665578640276,6743.379017650648,7269.958956760811,7754.369953845214,8216.832913084829,8669.958834887822,9123.015101758741,9583.873306805865,10060.148764664445,10560.0929736111,11093.546600363392,11673.249561454122,12316.983226714266,13051.555931632272,13921.205576141658,15008.290784527091,16497.49148829912,18980.80197241207,21435.485090859158,24691.44673011158,1153.5673328527926,1262.9656521739132,11965.0,6037.0,6513.0,6950.0,7748.0,8239.0,8584.0,8829.0,9039.0,9245.0,9353.0,9613.0,9860.0,10062.0,10293.0,10510.0,10748.0,10833.0,10982.0,11221.0,11417.0,12089.0,12728.0,13735.0,6002.8,6492.683474292414,6899.621765253405,7609.958937307843,8020.16112739981,8386.594322938075,8730.136679836565,9066.936583676106,9257.5,9436.678544866,9703.84916315059,10013.367720324111,10161.76601388189,10364.522946613792,10684.904307104913,10771.31570502745,10949.762214917411,11119.012123511164,11356.035613145814,11597.40379429669,12551.939118631244,13028.228944718172,13934.567383604057,1200.4379816930727
7,2021-09-18,1,9.368109297607074,0.1648905267378475,9.39544485847948,0.1997904064300743,7978.586714244174,8475.456573772473,8927.471764002874,9478.61592315336,9869.566890779783,10191.750821666688,10476.525089034903,10739.03615813245,10988.159939449353,11229.895702881424,11468.838397985737,11708.9559948312,11954.100819222653,12208.452697714349,12477.034484789629,12766.476289873626,13086.366836689655,13452.02143261124,13891.15165904321,14464.100202013775,15357.052266656638,16176.07845613321,17183.45057829972,1314.0339750940598,7560.275204533761,8134.445519130275,8663.021847617367,9315.203696150278,9782.74511603455,10171.012180168036,10516.369026639359,10836.492655943295,11141.82724807575,11439.51121175835,11735.09175202435,12033.44166783463,12339.376754186816,12658.208527680714,12996.406706825132,13362.60014846785,13769.364502745351,14236.903447576677,14801.951462052923,15544.87943543544,16715.151008536905,17801.301641597434,19153.233772011696,1091.8389440835185,1828.0156521739125,14140.0,7500.0,8265.0,8500.0,8946.0,9643.0,9898.0,10344.0,10632.0,10738.0,11076.0,11399.0,11546.0,11657.0,11747.0,11850.0,12172.0,12291.0,12303.0,12557.0,12971.0,13511.0,14443.0,15113.0,7500.0,8265.089161411306,8500.21,8946.25,9649.546387292816,10028.569307669755,10403.935019596673,10634.224857643954,10797.237761411308,11102.715711411309,11403.31115,11585.151794873467,11685.5,11756.0,11933.862711411308,12209.754065,12295.5,12331.4533203125,12557.0,12970.518495,13510.667416250775,14442.1375,15112.57,1808.6114787429292
8,2021-09-25,1,9.389713193916988,9.750402405475021e-05,9.402668870229707,0.20069916632506504,11961.953683625381,11962.381018938344,11962.748563093826,11963.172331981636,11963.458255319234,11963.685502997841,11963.88046471173,11964.055549064033,11964.217793096457,11964.37174885177,11964.520704712355,11964.667300744672,11964.813898573164,11964.962859938494,11965.116825281339,11965.279083705684,11965.454188525951,11965.64917906256,11965.876468358092,11966.162456325344,11966.586346147047,11966.954019511208,11967.381533458878,2515.4598258514065,7599.006479349674,8178.840999907537,8712.796783342093,9371.81949509363,9844.395160816719,10236.921209905786,10586.123721979213,10909.858669302228,11218.678303251261,11519.797060739726,11818.8233978546,12120.686139970807,12430.258711738457,12752.91845238867,13095.217505354836,13465.896943014803,13877.698425029694,14351.095362687905,14923.317289052451,15675.828218905817,16861.52404983875,17962.328954107466,19332.926337529996,1225.4257947178112,1967.5486956521736,14481.0,7318.0,8085.0,8542.0,9268.0,9797.0,10213.0,10575.0,10814.0,10974.0,11177.0,11342.0,11384.0,11485.0,11794.0,11954.0,12124.0,12315.0,12555.0,12874.0,13404.0,14098.0,14755.0,15524.0,7307.0,8015.8813,8534.888241590925,9268.0668,9797.0828,10213.2836,10575.378776043162,10833.617831831289,11024.405615234376,11186.1884765625,11345.209867424615,11474.466268558544,11586.7675,11837.958557578231,12014.93866,12147.5,12333.29991,12571.51755926765,12905.769870658123,13411.891354624291,14116.269716301693,14859.700508932952,15631.5,1942.7683535510685
9,2021-10-02,1,9.451808995310975,0.0001100567449767635,9.496539078116403,0.189464710740239,12727.91593207503,12728.429170409545,12728.870600245467,12729.379559575487,12729.722963516251,12729.995896689505,12730.230053713423,12730.440337628543,12730.635200115195,12730.820108317384,12730.999011699194,12731.175081090088,12731.351152916019,12731.53006376048,12731.714984960263,12731.909866957705,12732.120178620768,12732.354374718976,12732.62736431132,12732.970855868996,12733.479979146272,12733.92158414738,12734.435064652796,1089.7765396355583,8567.90265909797,9183.788312754012,9748.779351885833,10443.450154927052,10939.895521294093,11351.231900907496,11716.42605716497,12054.383957610351,12376.248205066087,12689.608923010659,13000.338666626116,13313.569777766052,13634.347902218637,13968.211416352467,14321.87988560941,14704.288568437441,15128.430748645476,15615.145719406446,16202.26992866915,16972.469595579136,18181.880400560876,19300.438358459065,20687.809756945422,578.9884565205411,420.56391304347824,13822.0,8477.0,9130.0,10241.0,10872.0,11581.0,11983.0,12165.0,12280.0,12635.0,12910.0,13020.0,13201.0,13390.0,13489.0,13746.0,13872.0,14161.0,14328.0,14806.0,15223.0,15699.0,16233.0,16788.0,8327.388776515145,8776.0,10201.871555388316,10872.0,11581.0,11983.0,12165.0,12280.0,12635.0,12910.0,13020.0,13232.0,13396.813951551483,13527.8,13812.741334610988,13897.415,14273.960205078123,14354.764453125,15072.0,15543.0,15891.0,16245.0,17219.9129568439,425.2360491372127
